Position,Team,Played,Wins,Draws,Losses,Points,Goals For,Goals Against,Goal Difference,Recent Form
1,Arsenal FC,38,26,7,5,85,71,27,44,"W,W,W,W,W"
2,Manchester City FC,38,23,9,6,78,77,35,42,"L,D,W,W,D"
3,Manchester United FC,38,20,11,7,71,69,50,19,"W,W,D,W,W"
4,Aston Villa FC,38,19,8,11,65,56,49,7,"W,W,D,L,L"
5,Liverpool FC,38,17,9,12,60,63,53,10,"D,L,D,L,W"
6,AFC Bournemouth,38,13,18,7,57,58,54,4,"D,D,W,W,D"
7,Sunderland AFC,38,14,12,12,54,42,48,-6,"W,W,D,D,L"
8,Brighton & Hove Albion FC,38,14,11,13,53,52,46,6,"L,L,W,L,W"
9,Brentford FC,38,14,11,13,53,55,52,3,"D,D,L,W,L"
10,Chelsea FC,38,14,10,14,52,58,52,6,"L,W,D,L,L"
11,Fulham FC,38,15,7,16,52,47,51,-4,"W,D,L,L,W"
12,Newcastle United FC,38,14,7,17,49,53,55,-2,"L,W,D,W,L"
13,Everton FC,38,13,10,15,49,47,50,-3,"L,L,D,D,L"
14,Leeds United FC,38,11,14,13,47,49,56,-7,"L,W,D,W,D"
15,Crystal Palace FC,38,11,12,15,45,41,51,-10,"L,D,L,D,L"
16,Nottingham Forest FC,38,11,11,16,44,48,51,-3,"D,L,D,W,W"
17,Tottenham Hotspur FC,38,10,11,17,41,48,57,-9,"W,L,D,W,W"
18,West Ham United FC,38,10,9,19,39,46,65,-19,"W,L,L,L,W"
19,Burnley FC,38,4,10,24,22,38,75,-37,"D,L,D,L,L"
20,Wolverhampton Wanderers FC,38,3,11,24,20,27,68,-41,"D,D,L,D,L"
